verb;tense;person;conjugation
lernen;imperativ;2;lern, lerne
lernen;imperativ;5;lernt
lernen;imperativ;6;lernen Sie
lernen;praesens_indikativ;1;lern, lerne
lernen;praesens_konjunktiv_1;1;lerne
lernen;praesens_indikativ;2;lernst
lernen;praesens_konjunktiv_1;2;lernest
lernen;praesens_indikativ;3;lernt
lernen;praesens_konjunktiv_1;3;lerne
lernen;praesens_indikativ;4;lernen
lernen;praesens_konjunktiv_1;4;lernen
lernen;praesens_indikativ;5;lernt
lernen;praesens_konjunktiv_1;5;lernet
lernen;praesens_indikativ;6;lernen
lernen;praesens_konjunktiv_1;6;lernen
lernen;praeteritum_indikativ;1;lernte
lernen;praeteritum_konjunktiv_2;1;lernte
lernen;praeteritum_indikativ;2;lerntest
lernen;praeteritum_konjunktiv_2;2;lerntest
lernen;praeteritum_indikativ;3;lernte
lernen;praeteritum_konjunktiv_2;3;lernte
lernen;praeteritum_indikativ;4;lernten
lernen;praeteritum_konjunktiv_2;4;lernten
lernen;praeteritum_indikativ;5;lerntet
lernen;praeteritum_konjunktiv_2;5;lerntet
lernen;praeteritum_indikativ;6;lernten
lernen;praeteritum_konjunktiv_2;6;lernten
lernen;perfekt_indikativ;1;habe gelernt
lernen;perfekt_konjunktiv_1;1;habe gelernt
lernen;perfekt_indikativ;2;hast gelernt
lernen;perfekt_konjunktiv_1;2;habest gelernt
lernen;perfekt_indikativ;3;hat gelernt
lernen;perfekt_konjunktiv_1;3;habe gelernt
lernen;perfekt_indikativ;4;haben gelernt
lernen;perfekt_konjunktiv_1;4;haben gelernt
lernen;perfekt_indikativ;5;habt gelernt
lernen;perfekt_konjunktiv_1;5;habet gelernt
lernen;perfekt_indikativ;6;haben gelernt
lernen;perfekt_konjunktiv_1;6;haben gelernt
lernen;plusquamperfekt_indikativ;1;hatte gelernt
lernen;plusquamperfekt_konjunktiv_2;1;hätte gelernt
lernen;plusquamperfekt_indikativ;2;hattest gelernt
lernen;plusquamperfekt_konjunktiv_2;2;hättest gelernt
lernen;plusquamperfekt_indikativ;3;hatte gelernt
lernen;plusquamperfekt_konjunktiv_2;3;hätte gelernt
lernen;plusquamperfekt_indikativ;4;hatten gelernt
lernen;plusquamperfekt_konjunktiv_2;4;hätten gelernt
lernen;plusquamperfekt_indikativ;5;hattet gelernt
lernen;plusquamperfekt_konjunktiv_2;5;hättet gelernt
lernen;plusquamperfekt_indikativ;6;hatten gelernt
lernen;plusquamperfekt_konjunktiv_2;6;hätten gelernt
lernen;futur_1_indikativ;1;werde lernen
lernen;futur_1_konjunktiv_1;1;werde lernen
lernen;futur_1_konjunktiv_2;1;würde lernen
lernen;futur_1_indikativ;2;wirst lernen
lernen;futur_1_konjunktiv_1;2;werdest lernen
lernen;futur_1_konjunktiv_2;2;würdest lernen
lernen;futur_1_indikativ;3;wird lernen
lernen;futur_1_konjunktiv_1;3;werde lernen
lernen;futur_1_konjunktiv_2;3;würde lernen
lernen;futur_1_indikativ;4;werden lernen
lernen;futur_1_konjunktiv_1;4;werden lernen
lernen;futur_1_konjunktiv_2;4;würden lernen
lernen;futur_1_indikativ;5;werdet lernen
lernen;futur_1_konjunktiv_1;5;werdet lernen
lernen;futur_1_konjunktiv_2;5;würdet lernen
lernen;futur_1_indikativ;6;werden lernen
lernen;futur_1_konjunktiv_1;6;werden lernen
lernen;futur_1_konjunktiv_2;6;würden lernen
lernen;futur_2_indikativ;1;werde gelernt haben
lernen;futur_2_konjunktiv_1;1;werde gelernt haben
lernen;futur_2_konjunktiv_2;1;würde gelernt haben
lernen;futur_2_indikativ;2;wirst gelernt haben
lernen;futur_2_konjunktiv_1;2;werdest gelernt haben
lernen;futur_2_konjunktiv_2;2;würdest gelernt haben
lernen;futur_2_indikativ;3;wird gelernt haben
lernen;futur_2_konjunktiv_1;3;werde gelernt haben
lernen;futur_2_konjunktiv_2;3;würde gelernt haben
lernen;futur_2_indikativ;4;werden gelernt haben
lernen;futur_2_konjunktiv_1;4;werden gelernt haben
lernen;futur_2_konjunktiv_2;4;würden gelernt haben
lernen;futur_2_indikativ;5;werdet gelernt haben
lernen;futur_2_konjunktiv_1;5;werdet gelernt haben
lernen;futur_2_konjunktiv_2;5;würdet gelernt haben
lernen;futur_2_indikativ;6;werden gelernt haben
lernen;futur_2_konjunktiv_1;6;werden gelernt haben
lernen;futur_2_konjunktiv_2;6;würden gelernt haben
verstehen;imperativ;2;versteh, verstehe
verstehen;imperativ;5;versteht
verstehen;imperativ;6;verstehen Sie
verstehen;praesens_indikativ;1;verstehe
verstehen;praesens_konjunktiv_1;1;verstehe
